"activity" "subject" "MeanReading"
"LAYING" 1 -0.312293983083873
"LAYING" 2 -0.359044505050319
"LAYING" 3 -0.345323995312742
"LAYING" 4 -0.362522761323154
"LAYING" 5 -0.364677180294578
"LAYING" 6 -0.362533318034117
"LAYING" 7 -0.355052938726381
"LAYING" 8 -0.340075022951591
"LAYING" 9 -0.375725800104548
"LAYING" 10 -0.419903006964342
"LAYING" 11 -0.363933860470484
"LAYING" 12 -0.365299353795811
"LAYING" 13 -0.340685111909751
"LAYING" 14 -0.312163311871426
"LAYING" 15 -0.363280793686667
"LAYING" 16 -0.363538215844701
"LAYING" 17 -0.332753709028927
"LAYING" 18 -0.352859848546923
"LAYING" 19 -0.357117704042059
"LAYING" 20 -0.362116118943154
"LAYING" 21 -0.331679299799593
"LAYING" 22 -0.334452169385985
"LAYING" 23 -0.352104738382376
"LAYING" 24 -0.348846807382774
"LAYING" 25 -0.266035782115419
"LAYING" 26 -0.361614506686479
"LAYING" 27 -0.362014533309272
"LAYING" 28 -0.411719063999928
"LAYING" 29 -0.348532463042817
"LAYING" 30 -0.344264630293608
"SITTING" 1 -0.325879465929362
"SITTING" 2 -0.351063057396757
"SITTING" 3 -0.315711212657742
"SITTING" 4 -0.333231569965923
"SITTING" 5 -0.337876590476839
"SITTING" 6 -0.345431501463182
"SITTING" 7 -0.338894561738715
"SITTING" 8 -0.327100642499437
"SITTING" 9 -0.340632294409885
"SITTING" 10 -0.348124025171751
"SITTING" 11 -0.335667708872241
"SITTING" 12 -0.343675732480529
"SITTING" 13 -0.341681483086855
"SITTING" 14 -0.347649304626047
"SITTING" 15 -0.34695193529945
"SITTING" 16 -0.356131776269122
"SITTING" 17 -0.371283424783118
"SITTING" 18 -0.349190238245596
"SITTING" 19 -0.327210368183016
"SITTING" 20 -0.342696556291791
"SITTING" 21 -0.36315709321864
"SITTING" 22 -0.32581204567663
"SITTING" 23 -0.337783204541834
"SITTING" 24 -0.347067830422741
"SITTING" 25 -0.343212571581048
"SITTING" 26 -0.333857024382628
"SITTING" 27 -0.339453993753805
"SITTING" 28 -0.351505044864495
"SITTING" 29 -0.33845805729253
"SITTING" 30 -0.334879089404122
"STANDING" 1 -0.371417223373745
"STANDING" 2 -0.348753326984392
"STANDING" 3 -0.352821172885994
"STANDING" 4 -0.335543033686391
"STANDING" 5 -0.336973490892468
"STANDING" 6 -0.356283082877831
"STANDING" 7 -0.356616691778391
"STANDING" 8 -0.359628523983451
"STANDING" 9 -0.357455417855061
"STANDING" 10 -0.350348239206789
"STANDING" 11 -0.365944617200298
"STANDING" 12 -0.358287033322317
"STANDING" 13 -0.371631012789949
"STANDING" 14 -0.358895068189909
"STANDING" 15 -0.364416877521879
"STANDING" 16 -0.374296524394844
"STANDING" 17 -0.375249918347611
"STANDING" 18 -0.369050708510407
"STANDING" 19 -0.357328938800278
"STANDING" 20 -0.340894060085698
"STANDING" 21 -0.366720766136753
"STANDING" 22 -0.359666280821412
"STANDING" 23 -0.365818596946422
"STANDING" 24 -0.364695012618313
"STANDING" 25 -0.355489771309605
"STANDING" 26 -0.36177730868714
"STANDING" 27 -0.369373630464537
"STANDING" 28 -0.360317894129183
"STANDING" 29 -0.368097872086546
"STANDING" 30 -0.350458598064869
"WALKING" 1 -0.218533646404192
"WALKING" 2 -0.227053274696541
"WALKING" 3 -0.246082022653636
"WALKING" 4 -0.224529160973824
"WALKING" 5 -0.222391126724284
"WALKING" 6 -0.220112279694407
"WALKING" 7 -0.202394320377693
"WALKING" 8 -0.194080266872019
"WALKING" 9 -0.205283452709698
"WALKING" 10 -0.203417205950313
"WALKING" 11 -0.228516258461671
"WALKING" 12 -0.237288228933161
"WALKING" 13 -0.205429167805861
"WALKING" 14 -0.235615973474268
"WALKING" 15 -0.215364355347719
"WALKING" 16 -0.239243985342059
"WALKING" 17 -0.225008993241312
"WALKING" 18 -0.249858164390525
"WALKING" 19 -0.1814443834503
"WALKING" 20 -0.180074564857835
"WALKING" 21 -0.210804528774774
"WALKING" 22 -0.18440098269753
"WALKING" 23 -0.217160999673898
"WALKING" 24 -0.253030525876405
"WALKING" 25 -0.243353297759101
"WALKING" 26 -0.225931232293397
"WALKING" 27 -0.229011974604111
"WALKING" 28 -0.228871005927166
"WALKING" 29 -0.189420490761688
"WALKING" 30 -0.230066043208741
"WALKING_DOWNSTAIRS" 1 -0.207241254036762
"WALKING_DOWNSTAIRS" 2 -0.170572248370159
"WALKING_DOWNSTAIRS" 3 -0.215108516118782
